PHASE;SECTION;EPIC;REQUIREMENT NAME;ASSUMPTION;TASK TYPE;EC;BA;SA;BD;FD;CS;QA;CR;PM;Hrs;MD;COST
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;My Profile Page - Expert;Assume manufacturer articles are provided by client into Content Asset library;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Newsletter;Assume building integration with existing marketing campaign source;;;;;1,5;;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - Phase 1 Release;Storefront Implementation;Search Results;No search results page;;Story;;;;0,5;1,25;;0,7;0,0875;0,4375;23,8;2,975;23,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Search Results;No search results page;Assuming standard Site Genesis template;Story;;;;0,5;1,25;;0,7;0,0875;0,4375;23,8;2,975;23,8
Seriouscigar;Storefront Implementation;My Account ;Notify me (related to back in stock);Assume OSF-licensed BIS cartridge;;;;;0,15;0,5;;0,26;0,0325;0,1625;8,84;1,105;8,84
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;OMS Integration;Assume OSF-licensed OMS Lite Cartridge;;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Order details;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Order details;Assuming standard Site Genesis template;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Order Export;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Order Export;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Order History;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Order History;;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Order Status import;;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Order Status import;;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
Refapp - Phase 1 Release;Storefront Implementation;Non product pages ;Other static pages ;Privacy policy, shipping, Returns, terms and conditions;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Other static pages ;Assuming content will be similar to existing pages;Story;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;Non product pages ;Other static pages ;Assuming content will be similar to existing pages;;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;
Refapp - Phase 1 Release;SEO;SEO;Page metadata;;Story;;;;0,5;;2;0,2;0,025;0,125;22,8;2,85;22,8
New Country;SEO;SEO;Page metadata;;Story;;;;;;1;;;;8;1;8
New Brand;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
New Language;SEO;SEO;Page metadata;;Story;;;;;;0,25;;;;2;0,25;2
Refapp - P1 Release Cigars.com;SEO;SEO;Page metadata;;Story;;;;0,5;;2;0,2;0,025;0,125;22,8;2,85;22,8
JRCigars;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
Seriouscigar;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
SantaClaraCigars;SEO;SEO;Page metadata;;Story;;;;0,25;;0,5;0,1;0,0125;0,0625;7,4;0,925;7,4
JRCigars;Backend Implementation;Integrations;Payment;Assume Paypal LINK Cartridge;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Seriouscigar;Backend Implementation;Integrations;Payment;Paypal - assuming integration with JR is completed first;;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Payment ;Cybersource;Story;;;;7;;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Payment ;Assume Cybersource LINK cartridge;Story;;;;7;;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Payment - Paypal Express;Paypal;Story;;;;5;;;2;0,25;1,25;68;8,5;68
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Payment - Paypal Express;Assume Paypal LINK cartridge;Story;;;;0;;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Payment Methods ;Add/ Edit/ Delete/ Default;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Payment Methods ;Assuming standard Site Genesis template;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - navigation ( prev/next );;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - navigation ( prev/next );;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -other attributes;You might like(carousel), description, product details;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -other attributes;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -product bundles;;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -product bundles;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -product main attributes;Product name/images/pricing/variation/social media/availabilities/ add to cart/ add to wishlists etc;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -product main attributes;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -product sets;;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -product sets;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;PDP;PDP - product details -type;Standard/Variations;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;PDP - product details -type;Assuming standard Site Genesis template;Story;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Storefront Implementation;Footer;Persistent footer;About, contact us, FAQ, Policies, Press, Legal, Store;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Footer;Persistent footer;Assume content will be similar to existing site;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;PIM Integration;Assume building integration with Webdam;;;;;2;1;;1,2;0,15;0,75;40,8;5,1;40,8
Refapp - Phase 1 Release;Prestart Activities;Prestart Activities;Prestart Activities;Build Server, Working Environment, Test Plan, Project Plan;Story;;;2;;;;3;;2;56;7;56
Refapp - P1 Release Cigars.com;Prestart Activities;Prestart Activities;Prestart Activities;Build Server, Working Environment, Test Plan, Project Plan;Story;;;2;;;;3;;2;56;7;56
Refapp - Phase 1 Release;Data Feeds;Data Feeds;Pricebook feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Data Feeds;Data Feeds;Pricebook feed;;Story;;;;2;;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;My Account;Profile >> Auto ship;"automatic reorders; create a separate account";Story;;;;1,5;0,5;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;My Account;Profile >> Instant Checkout;Assume this is a customer profile custom attribute;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;My Account;Profile >> My auctions;assuming auction site provides API or similar integration capabilities to leverage;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;My Account;Profile >> My wishlist;Assume standard Site Genesis functionality;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
JRCigars;Storefront Implementation;My Account;Profile >> SMS notifications;Assuming integration with existing SMS provider;Story;;;;1;0,25;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Storefront Implementation;Quickview;Quick view - standard/ single variation products;;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview;Quick view - standard/ single variation products;Assuming standard Site Genesis template;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - Phase 1 Release;Storefront Implementation;Quickview ;Quickview - edit cart;;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview ;Quickview - edit cart;;Story;;;;;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Quickview ;Quickview - product set;;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview ;Quickview - product set;;Story;;;;;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Quickview ;Quickview - variation products ;;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Quickview ;Quickview - variation products ;Assuming standard Site Genesis template;Story;;;;;0,75;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Ratings and Reviews;Assume utilizing BV LINK cartridge and client performs dashboard configurations;;;;;1;1;;0,8;0,1;0,5;27,2;3,4;27,2
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Recommendation;;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Storefront Implementation;PDP;Recommendations;Scroll carousel/ cross sell;Story;;;;0,5;0,75;;0,5;0,0625;0,3125;17;2,125;17
Refapp - P1 Release Cigars.com;Storefront Implementation;PDP;Recommendations;;Story;;;;0;0;;;;;;;
JRCigars;Storefront Implementation;PDP;Recommendations ;on the pdp as well;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
SantaClaraCigars;Storefront Implementation;My Account;Registration is a 5 step process;Assume integration with existing Business verification entity;Story;;;;0,75;3;;1,5;0,1875;0,9375;51;6,375;51
Refapp - P1 Release Cigars.com;Release;Release;Regression and smoke testing Staging and dev;;;;;;1;1;;1;;;24;3;24
JRCigars;Release;Release;Regression and smoke testing Staging and dev;;;;;;1;1;;1;;;24;3;24
Seriouscigar;Release;Release;Regression and smoke testing Staging and dev;;;;;;1;1;;1;;;24;3;24
SantaClaraCigars;Release;Release;Regression and smoke testing Staging and dev;;Story;;;;1;1;;1;;;24;3;24
Refapp - Phase 1 Release;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
Refapp - P1 Release Cigars.com;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;1;;;;;;40;5;40
JRCigars;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
Seriouscigar;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
SantaClaraCigars;Release;Release;Remove all deprecated apis and logs cleanup;;Story;;4;;;;;;;;32;4;32
Seriouscigar;Storefront Implementation;Storefront Implementation;Replicate product list page for multi add to cart view;Assume quantity denominations are defined as product variations in SFCC catalog;Story;;;;;1;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Reporting;Support;Reporting;;Story;;;;;;;5,24;;3,409375;69,195;8,649375;69,195
JRCigars;Reporting;Support;Reporting;;Story;;;;;;;8,1325;;9,19125;138,59;17,32375;138,59
Seriouscigar;Reporting;Support;Reporting;;Story;;;;;;;1,693;;1,058125;22,009;2,751125;22,009
SantaClaraCigars;Reporting;Support;Reporting;;Story;;;;;;;1,463;;0,914375;19,019;2,377375;19,019
Refapp - Phase 1 Release;Storefront Implementation;My Account ;Reset Password ;;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Reset Password ;Assuming standard Site Genesis template;Story;;;;0,25;0,5;;0,3;0,0375;0,1875;10,2;1,275;10,2
Refapp - Phase 1 Release;Storefront Implementation;Search Results;Result refinement;Category/ size/ color ;Story;;;;1;1,5;;1;0,125;0,625;34;4,25;34
Refapp - P1 Release Cigars.com;Storefront Implementation;Search Results;Result refinement;Assuming standard Site Genesis template;Story;;;;1;1,5;;1;0,125;0,625;34;4,25;34
Refapp - Phase 1 Release;Prestart Activities;SRA;Review and Complete SRA Gate 1;;Story;;;3;3;2;;;;3;88;11;88
Refapp - P1 Release Cigars.com;Site Readiness Assessment;SRA;Review and Complete SRA Gate 1;;Story;;;3;3;2;;;;3;88;11;88
Refapp - Phase 1 Release;Prestart Activities;SRA;Review and Complete SRA Gate 2;;Story;;;2;3;4;;;;1;80;10;80
Refapp - P1 Release Cigars.com;Site Readiness Assessment;SRA;Review and Complete SRA Gate 2;;Story;;;2;3;4;;;;1;80;10;80
Discovery & Documentation;SPECS & CREATIVES;Documentation;Review Designs Provided by client/agency;;Story;2;;;;1;;;;0,75;30;3,75;30
Seriouscigar;Backend Implementation;Backend Integrations;Ron's corner - blog;Assuming integration with WordPress for content;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
SantaClaraCigars;Storefront Implementation;Custom Pages;Santa Clara Catalog;;Story;;;;1;1;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Search suggestions;Search inputs;;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Search suggestions;Search inputs;Assuming standard Site Genesis template;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Storefront Implementation;Search Results;Search result page;Product tiles, Product grids view,  Articles, Pagination, Sort By;Story;;;;1;2,5;;1,4;0,175;0,875;47,6;5,95;47,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Search Results;Search result page;Assuming standard Site Genesis template;Story;;;;1;2,5;;1,4;0,175;0,875;47,6;5,95;47,6
Refapp - Phase 1 Release;Storefront Implementation;Search suggestions;Search suggestions;Suggested search matches/ products matches, hover links;Story;;;;;1,5;;0,6;0,075;0,375;20,4;2,55;20,4
Refapp - P1 Release Cigars.com;Storefront Implementation;Search suggestions;Search suggestions;Assuming standard Site Genesis template;Story;;;;0,5;1,5;;0,8;0,1;0,5;27,2;3,4;27,2
JRCigars;Storefront Implementation;Search suggestions;Search suggestions >> Advanced button;Assume standard Search Definitions ;Story;;;;0,5;1;;0,6;0,075;0,375;20,4;2,55;20,4
Seriouscigar;Storefront Implementation;Search suggestions;Search suggestions >> Advanced button;Assume standard Search Definitions ;;;;;0,25;1;;0,5;0,0625;0,3125;17;2,125;17
Refapp - Phase 1 Release;Release;Release;Smoke tests on production;;Story;;;;;;;0,5;;;4;0,5;4
New Country;Release;Release;Smoke tests on production;;Story;;;;;;;;;0,5;4;0,5;4
New Brand;Release;Release;Smoke tests on production;;Story;;;;;;;;;0,5;4;0,5;4
New Language;Release;Release;Smoke tests on production;;Story;;;;;;;;;0,5;4;0,5;4
Refapp - P1 Release Cigars.com;Release;Release;Smoke tests on production;;Story;;;;;;;0,5;;;4;0,5;4
JRCigars;Release;Release;Smoke tests on production;;Story;;;;;;;;;0,5;4;0,5;4
Seriouscigar;Release;Release;Smoke tests on production;;Story;;;;;;;;;0,5;4;0,5;4
SantaClaraCigars;Release;Release;Smoke tests on production;;Story;;;;;;;;;0,5;4;0,5;4
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Social Sign-on through FB;Assume standard Facebook API app integration;;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Status Calls;Support;Status Calls (Client and internal);;Story;;0,2;1;7;5,9625;;5,24;0,489375;3,409375;186,41;23,30125;186,41
JRCigars;Status Calls;Support;Status Calls (Client and internal);;Story;0,15;0,7;0,25;2,075;2,6875;0,125;2,145;0,568125;1,340625;80,33;10,04125;80,33
Seriouscigar;Status Calls;Support;Status Calls (Client and internal);;Story;;0,7;0,25;1,5325;2,1;0,125;1,693;0,511625;1,058125;63,762;7,97025;63,762
SantaClaraCigars;Status Calls;Support;Status Calls (Client and internal);;Story;;0,7;0,25;1,37;2,075;0,125;1,463;0,482875;0,914375;59,042;7,38025;59,042
Refapp - Phase 1 Release;Storefront Implementation;Store locator ;Store locator - store details ;;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Store locator ;Store locator - store details ;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Store locator ;Store locator Results ;;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Store locator ;Store locator Results ;;Story;;;;0;0;;;;;;;
Refapp - Phase 1 Release;Storefront Implementation;Store locator ;Store locator Search ;Landing page;Story;;;;0,5;0,5;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - P1 Release Cigars.com;Storefront Implementation;Store locator ;Store locator Search ;;Story;;;;0;0;;;;;;;
New Brand;Gap Analysis & Discovery & Designs;Gap Analysis & Discovery & Designs;Storefront Discovery Workshop;;Story;2,5;7,5;;;;;;;2,5;100;12,5;100
JRCigars;Gap Analysis & Discovery & Designs;Gap Analysis & Discovery & Designs;Storefront Discovery Workshop;;Story;2,5;7,5;;;;;;;2,5;100;12,5;100
Seriouscigar;Gap Analysis & Discovery & Designs;Gap Analysis & Discovery & Designs;Storefront Discovery Workshop;;Story;2,5;7,5;;;;;;;2,5;100;12,5;100
SantaClaraCigars;Gap Analysis & Discovery & Designs;Gap Analysis & Discovery & Designs;Storefront Discovery Workshop;;Story;2,5;7,5;;;;;;;2,5;100;12,5;100
Refapp - Phase 1 Release;Storefront Implementation;Global Navigation;Sub-categories;;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Global Navigation;Sub-categories;Assume content will be similar to existing site;Story;;;;;0,5;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - P1 Release Cigars.com;Storefront Implementation;Homepage;Takeover Banner;Assume content will be similar to existing site;Story;;;;;1;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;Backend Integration;Backend Integration;Taxation;Avalara / Vertex;Story;;;;4;;;1,6;0,2;1;54,4;6,8;54,4
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Taxation;Assume Avalara / Vertex LINK Cartridge;Story;;;;0;;;;;;;;
SantaClaraCigars;Backend Implementation;Backend Implementation;TaxID verification;Assuming 3rd party integration with documented API;;;;;0,5;;;0,2;0,025;0,125;6,8;0,85;6,8
Refapp - Phase 1 Release;Storefront Implementation;Transactional Email ;Transactional Emails;Contact Us - Request Received, Account Creation / Validation, Forgot / Reset Password,  Reset Password Confirmation, Order Confirmation, Pre Order Confirmation, Order Cancelled;Story;;;;;7;;2,8;0,35;1,75;95,2;11,9;95,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Transactional Email ;Transactional Emails;Desktop only;Story;;;;1;7;;3,2;0,4;2;108,8;13,6;108,8
Refapp - Phase 1 Release;UAT Support;UAT Support;UAT Support;1 Month UAT;Story;;;5;10;10;;10;;5;320;40;320
New Country;UAT Support;UAT Support;UAT Support;2 weeks;Story;;;2,5;5;5;;;5;2,5;160;20;160
New Brand;UAT Support;UAT Support;UAT Support;;Story;;;2,5;5;5;;;5;2,5;160;20;160
New Language;UAT Support;UAT Support;UAT Support;2 weeks;Story;;;2,5;5;5;;;5;2,5;160;20;160
Refapp - P1 Release Cigars.com;UAT Support;UAT Support;UAT Support;1 Month UAT;Story;;;5;10;10;;10;;5;320;40;320
JRCigars;UAT Support;UAT Support;UAT Support;;Story;;;2,5;5;5;;;5;2,5;160;20;160
Seriouscigar;UAT Support;UAT Support;UAT Support;;Story;;;2,5;5;5;;;5;2,5;160;20;160
SantaClaraCigars;UAT Support;UAT Support;UAT Support;;Story;;;2,5;5;5;;;5;2,5;160;20;160
New Brand;Storefront Implementation;Storefront Implementation;UI declination for new brand;;Story;;;;2;20;;8,8;1,1;5,5;299,2;37,4;299,2
JRCigars;Storefront Implementation;Storefront Implementation;UI declination for new brand;Assume content will be similar to existing site;Story;;;;2;20;;8,8;1,1;5,5;299,2;37,4;299,2
Seriouscigar;Storefront Implementation;Storefront Implementation;UI declination for new brand;Assume content will be similar to existing site;Story;;;;2;20;;8,8;1,1;5,5;299,2;37,4;299,2
SantaClaraCigars;Storefront Implementation;Storefront Implementation;UI declination for new brand;Assume content will be similar to existing site;Story;;;;2;20;;8,8;1,1;5,5;299,2;37,4;299,2
Refapp - Phase 1 Release;Release;Release;Update BM user guide ;;Story;;;;;;;2;;;16;2;16
Refapp - P1 Release Cigars.com;Release;Release;Update BM user guide ;;Story;;;;;;;2;;;16;2;16
New Country;Prestart Activities;Prestart Activities;Update Documentation;;Story;;0,5;0,5;;;;;;;8;1;8
New Language;Prestart Activities;Prestart Activities;Update Documntation;;Story;;0,25;0,25;;;;;;;4;0,5;4
New Language;Prestart Activities;Prestart Activities;Update Project and Test Plan;;Story;;;;;;;0,5;;0,25;6;0,75;6
New Country;Prestart Activities;Prestart Activities;Update Project Plan and test Plan;;Story;;;;;;;0,5;;0,5;8;1;8
New Brand;Prestart Activities;Prestart Activities;Update project plan and test plan;;Story;;;;;;;1;;0,5;12;1,5;12
JRCigars;Prestart Activities;Prestart Activities;Update project plan and test plan;;Story;;;;;;;1;;0,5;12;1,5;12
Seriouscigar;Prestart Activities;Prestart Activities;Update project plan and test plan;;Story;;;;;;;1;;0,5;12;1,5;12
SantaClaraCigars;Prestart Activities;Prestart Activities;Update project plan and test plan;;Story;;;;;;;1;;0,5;12;1,5;12
New Language;Storefront Implementation;Storefront Implementation;Update Templates in order to incorporate new translations;;Story;;;;;2;;0,8;0,1;0,5;27,2;3,4;27,2
New Country;Storefront Implementation;Storefront Implementation;Update Templates to support new Locale;;Story;;;;;3;;1,2;0,15;0,75;40,8;5,1;40,8
SantaClaraCigars;Storefront Implementation;PDP;User can't add to cart, unless they are logged in.;Assume standard Site Genesis template (exception noted in Requirements);Story;;;;0,15;2;;0,86;0,1075;0,5375;29,24;3,655;29,24
Refapp - P1 Release Cigars.com;Backend Integration;Backend Integration;Veritad;Assume building integration with Vertatad API;;;;;1;;;0,4;0,05;0,25;13,6;1,7;13,6
Refapp - Phase 1 Release;WARRANTY Support;WARRANTY Support;WARRANTY Support;1 Month Warranty;Story;;;5;10;10;;10;;5;320;40;320
New Country;WARRANTY Support;WARRANTY Support;WARRANTY Support;2 weeks;Story;;;1;2,5;2,5;;;2,5;1;76;9,5;76
New Brand;WARRANTY Support;WARRANTY Support;WARRANTY Support;;Story;;;1;2,5;2,5;;;2,5;1;76;9,5;76
New Language;WARRANTY Support;WARRANTY Support;WARRANTY Support;2 weeks;Story;;;1;2,5;2,5;;;2,5;1;76;9,5;76
Refapp - P1 Release Cigars.com;WARRANTY Support;WARRANTY Support;WARRANTY Support;1 Month Warranty;Story;;;5;10;10;;10;;5;320;40;320
JRCigars;WARRANTY Support;WARRANTY Support;WARRANTY Support;;Story;;;1;2,5;2,5;;;2,5;1;76;9,5;76
Seriouscigar;WARRANTY Support;WARRANTY Support;WARRANTY Support;;Story;;;1;2,5;2,5;;;2,5;1;76;9,5;76
SantaClaraCigars;WARRANTY Support;WARRANTY Support;WARRANTY Support;;Story;;;1;2,5;2,5;;;2,5;1;76;9,5;76
Refapp - Phase 1 Release;Storefront Implementation;Wishlist;Wish List;Login, Wishlist search, Public View, Results;Story;;;;2;2,5;;1,8;0,225;1,125;61,2;7,65;61,2
Refapp - P1 Release Cigars.com;Storefront Implementation;Wishlist;Wish List;;Story;;;;0;2,5;;1;0,125;0,625;34;4,25;34
Refapp - P1 Release Cigars.com;Storefront Implementation;My Account ;Your Collections ;Assuming this will require a custom BM snap-in to handle approving and potentially updating the discount pricing;;;;;2;2;;1,6;0,2;1;54,4;6,8;
